filename,x_from,y_from,width,height
images/0b56af7e-386c-410a-8f46-74350f755d77--ru.4c7208d1-cba4-4539-967d-1c87ad0f6d2e.jpg,216,474,409,308
images/6e042372-20ec-4a26-8340-3653cf0c681d--ru.407738ff-e321-4f6c-8a9d-d9c146d3d801.jpg,23,849,230,125
images/788fb7f3-e813-4754-874f-3cc6eb19113d--ru.265581a1-33c3-486e-b9e8-0fc5d4818e42.jpg,322,632,344,145
images/d05d50c0-0c19-4ca4-88ff-6f7058318a7f--ru.fb097934-ebc8-4b94-be1c-e3720092b0d6.jpg,516,694,325,156
images/93cda132-8b66-476a-a112-8acf47658fee--ru.c9cabec9-8436-4b5c-9d1d-a00905371a3d.jpg,200,474,531,292
images/a66f361d-1e84-4f65-992a-4636e3b4ef9a--ru.c1328ca2-08a4-4c51-9251-4ae0a172b9d0.jpg,230,784,496,173
images/af464982-dc36-4ef1-89b8-9f899c26bd98--ru.05dda538-814b-423f-a33a-75c000046f47.jpg,306,1170,233,154
images/35019e8a-6a4c-463d-8a42-2b0631133bdc--ru.982ad218-0498-4416-9cf2-7f09ca97d0c2.jpg,275,592,373,166
images/f1f950b5-be18-4335-8dc6-6bea7445062b--ru.1502c7bf-6de8-42f1-9f47-90987bad4911.jpg,235,142,522,280
images/6f8eeeda-3403-4c81-b37d-f9bbfada0e65--ru.21344efc-b08b-40ea-8a1c-ee975c5ef4a4.jpg,361,363,467,338
images/fe2886d7-955c-4909-a61e-6e388a379b71--ru.ed56e791-b8db-4589-94e6-1e7c43bd60b7.jpg,249,220,458,355
images/5a71f3c4-ab19-4a78-939b-d4c7522d96ad--ru.8c807fc5-6dcc-4681-a855-0623d19b7a00.jpg,259,523,498,423
images/67c49161-584c-4355-b885-4c4f748234d2--ru.de000ead-d47f-4969-b040-4fdc357be09d.jpg,583,304,348,332
images/77252d88-2d4f-4741-a507-1aee82b4ca53--ru.9ebb3de8-8c88-4e43-9157-0cce279f91f2.jpg,414,862,285,120
images/468376b5-89e0-4658-9471-c03f2cdf9cfc--ru.5cf83e98-8a44-48c6-b9a6-0c61409fdc1a.jpg,249,888,561,203
images/18aac3cf-1bdc-42b4-af6a-a02bdf1423cd--ru.01d6afae-b6d2-4352-8b8b-7b499044c551.jpg,191,523,545,276
images/52d310ea-3bcc-47a0-9cb5-4b294054a7be--ru.5678e1a4-1367-44cb-b2d2-1bae7fbadbff.jpg,351,943,376,225
images/9185f86c-3aee-43f6-a758-febdbd9281c5--ru.86a9b5f5-fff1-4b3b-bdb2-5c6f1153ed7b.jpg,306,183,630,347
images/09c4aef7-de37-45d9-8ccf-3be4a4409953--ru.f8b7d94c-b600-4f02-bf94-410861132882.jpg,163,529,443,213
images/5423eb16-945b-433b-9668-ff6b1727b8aa--ru.a73d075e-544f-4b2f-8218-cf28f3d59dd5.jpg,275,664,442,171
images/49e72b24-d106-496f-82e4-e3c3441e89e0--ru.b53ccdc1-a710-4412-8e53-8cef3c095468.jpg,395,879,432,165
images/83e63f27-b540-433e-8969-da31616deea0--ru.8adf5d09-c98c-4617-aae2-0bf975ae8ad1.jpg,325,583,428,139
images/08fb775c-1553-4dbe-9d57-3739e58278d8--ru.16e5f570-5ef0-4354-ac80-51f4de9734fe.jpg,371,770,344,140
images/dd690770-73e0-41e0-bc74-87fc937c8e5f--ru.790971c2-81f3-44b1-867f-dbcfb5e156c5.jpg,303,634,411,270
images/4a8d968f-68b5-41b5-986e-7011af1170d1--ru.acb65758-2995-4c01-a07b-6fab6063dc2b.jpg,168,840,430,223
images/2d3601d0-b3f1-4580-b1e3-899a0df7d796--ru.79bfe362-dc95-49a2-b0ef-472b76b27d32.jpg,227,640,478,262
images/a4f6df3b-8cb4-429c-87ef-65de4666e7f1--ru.8276720b-c579-4b0f-bc43-53b379c54efc.jpg,244,595,419,252
images/3d1c5c67-f786-4864-b331-bde3fe5f58b8--ru.ffdd8b7a-32f9-4b9f-ab7b-a5fa2b5e1914.jpg,480,842,341,168
images/758e22fa-7bc0-4d31-8c2b-19dd8173d2dc--ru.463e87bd-8bdf-4369-8afa-475a1c2d6459.jpg,284,568,395,202
images/3a45d9ed-6369-42da-96f4-01a2462295bc--ru.b59e36dc-46b7-441c-9f4a-82ac06b73842.jpg,378,870,333,151
